,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1023,0.04878138487059109,0.004339563020162751
1,1025,0.09427194018333049,0.0024810275685010407
2,1027,0.09425071193716901,0.002240941088340956
3,1029,0.1039924403575804,0.0016049169202336565
4,1031,0.09136942664417333,0.0019062902748736945
5,1033,0.07385802003412834,0.001826889620675101
6,1035,0.059272676639627375,0.0020355019813097573
7,1037,0.04853397676035409,0.0019440704659411195
8,1039,0.04072476778240151,0.0020641254607082337
9,1041,0.034419536181431294,0.001796304806624884
10,1043,0.03287193195305471,0.001838727196856294
11,1045,0.025998889233564085,0.0020017221300870887
12,1047,0.025314519292661864,0.0019061463283579366
13,1049,0.022580323074239798,0.0017377080988143455
